NM_001009947.3,Dock11,mRNA
NM_001009948.2,Nrsn2,mRNA
NM_001009949.3,Slc25a51,mRNA
NM_001009950.1,Slc38a8,mRNA
NM_001009951.1,Cep44,mRNA
NM_001009952.2,Scgb2b20,mRNA
NM_001009978.1,Pde1a,mRNA
NM_001009979.1,Pde1a,mRNA
NM_001009981.2,Slc10a7,mRNA
NM_001010825.3,Ficd,mRNA
NM_001010826.3,Kctd14,mRNA
NM_001010827.1,Taar7b,mRNA
NM_001010828.1,Taar6,mRNA
NM_001010829.1,Taar7a,mRNA
NM_001010830.1,Taar8a,mRNA
NM_001010831.1,Taar9,mRNA
NM_001010833.2,Mdc1,mRNA
NM_001010834.2,Slc10a5,mRNA
NM_001010835.1,Taar7e,mRNA
NM_001010836.3,Ppp1r13l,mRNA
NM_001010837.1,Taar8b,mRNA
NM_001010838.1,Taar7d,mRNA
NM_001010839.1,Taar7f,mRNA
NM_001010840.2,Taar8c,mRNA
NM_001010930.1,Mrps33,mRNA
NM_001010937.2,Gjb6,mRNA
NM_001010941.2,Gpr12,mRNA
NM_001010973.2,Hrh2,mRNA
NM_001011517.2,Olfr1193,mRNA
NM_001011518.1,Olfr94,mRNA
NM_001011519.1,Olfr1148,mRNA
NM_001011520.2,Olfr310,mRNA
NM_001011523.2,Olfr913,mRNA
NM_001011524.1,Olfr1418,mRNA
NM_001011525.1,Olfr1415,mRNA
NM_001011527.1,Olfr503,mRNA
NM_001011528.2,Olfr456,mRNA
NM_001011529.1,Olfr1251,mRNA
NM_001011530.2,Olfr723,mRNA
NM_001011531.3,Olfr329,mRNA
NM_001011532.2,Olfr1037,mRNA
NM_001011533.2,Olfr688,mRNA
NM_001011534.1,Olfr988,mRNA
NM_001011535.2,Olfr1182,mRNA
NM_001011536.2,Olfr566,mRNA
NM_001011542.2,Olfr1532-ps1,mRNA
NM_001011662.2,Olfr180,mRNA
NM_001011684.2,Nms,mRNA
NM_001011687.2,Rnase13,mRNA
NM_001011695.1,Olfr1000,mRNA
NM_001011707.1,Cyp2c66,mRNA
NM_001011721.2,Olfr102,mRNA
NM_001011732.1,Xkr7,mRNA
NM_001011733.2,Olfr288,mRNA
NM_001011734.1,Olfr1116,mRNA
NM_001011735.2,Olfr1066,mRNA
NM_001011736.1,Olfr205,mRNA
NM_001011737.2,Olfr1357,mRNA
NM_001011738.1,Olfr744,mRNA
NM_001011739.1,Olfr885,mRNA
NM_001011740.2,Olfr225,mRNA
NM_001011741.2,Olfr1386,mRNA
NM_001011742.1,Olfr479,mRNA
NM_001011743.2,Olfr324,mRNA
NM_001011748.1,Olfr867,mRNA
NM_001011749.1,Olfr704,mRNA
NM_001011750.2,Olfr294,mRNA
NM_001011751.1,Olfr298,mRNA
NM_001011752.1,Olfr293,mRNA
NM_001011753.2,Olfr115,mRNA
NM_001011754.2,Olfr735,mRNA
NM_001011755.1,Olfr671,mRNA
NM_001011756.1,Olfr948,mRNA
NM_001011757.1,Olfr663,mRNA
NM_001011758.2,Olfr1016,mRNA
NM_001011759.2,Olfr1031,mRNA
NM_001011760.2,Olfr314,mRNA
NM_001011761.1,Olfr1229,mRNA
NM_001011767.1,Olfr299,mRNA
NM_001011769.2,Olfr317,mRNA
NM_001011770.2,Olfr332,mRNA
NM_001011771.2,Olfr1089,mRNA
NM_001011773.1,Olfr1287,mRNA
NM_001011774.2,Olfr1028,mRNA
NM_001011775.2,Olfr1419,mRNA
NM_001011776.1,Olfr527,mRNA
NM_001011777.2,Olfr1042,mRNA
NM_001011778.1,Olfr285,mRNA
NM_001011779.1,Olfr286,mRNA
NM_001011780.1,Olfr287,mRNA
NM_001011782.2,Olfr543,mRNA
NM_001011784.2,Olfr1039,mRNA
NM_001011785.1,Olfr987,mRNA
NM_001011787.2,Olfr1307,mRNA
NM_001011788.1,Olfr1432,mRNA
NM_001011789.1,Olfr222,mRNA
NM_001011790.1,Olfr1382,mRNA
NM_001011791.2,Olfr193,mRNA
NM_001011793.1,Olfr598,mRNA
NM_001011794.1,Olfr1322,mRNA
NM_001011795.1,Olfr1275,mRNA
NM_001011796.2,Olfr1249,mRNA
NM_001011797.1,Olfr782,mRNA
NM_001011798.1,Olfr884,mRNA
NM_001011799.1,Olfr453,mRNA
NM_001011800.2,Olfr212,mRNA
NM_001011801.1,Olfr213,mRNA
NM_001011802.2,Olfr1318,mRNA
NM_001011803.2,Olfr1306,mRNA
NM_001011804.1,Olfr1211,mRNA
NM_001011805.1,Olfr1385,mRNA
NM_001011806.1,Olfr901,mRNA
NM_001011807.2,Olfr191,mRNA
NM_001011808.1,Olfr198,mRNA
NM_001011809.2,Olfr728,mRNA
NM_001011810.2,Olfr485,mRNA
NM_001011811.1,Olfr487,mRNA
NM_001011812.1,Olfr951,mRNA
NM_001011813.1,Olfr93,mRNA
NM_001011814.1,Olfr524,mRNA
NM_001011815.1,Olfr533,mRNA
NM_001011816.1,Olfr1181,mRNA
NM_001011818.2,Olfr316,mRNA
NM_001011819.2,Olfr312,mRNA
NM_001011820.2,Olfr1359,mRNA
NM_001011821.1,Olfr804,mRNA
NM_001011822.1,Olfr787,mRNA
NM_001011823.1,Olfr834,mRNA
NM_001011824.1,Olfr832,mRNA
NM_001011825.1,Olfr1105,mRNA
NM_001011826.1,Olfr967,mRNA
NM_001011827.1,Olfr963,mRNA
NM_001011828.1,Olfr304,mRNA
NM_001011829.1,Olfr761,mRNA
NM_001011830.3,Olfr119,mRNA
NM_001011831.1,Olfr1500,mRNA
NM_001011832.1,Olfr1490,mRNA
NM_001011833.1,Olfr1137,mRNA
NM_001011834.1,Olfr1152,mRNA
NM_001011835.1,Olfr1162,mRNA
NM_001011836.2,Olfr1129,mRNA
NM_001011837.2,Olfr748,mRNA
NM_001011839.2,Olfr1437,mRNA
NM_001011840.1,Olfr1463,mRNA
NM_001011841.1,Olfr1465,mRNA
NM_001011842.1,Olfr1474,mRNA
NM_001011845.2,Olfr597,mRNA
NM_001011846.1,Olfr517,mRNA
NM_001011847.1,Olfr591,mRNA
NM_001011848.1,Olfr675,mRNA
NM_001011849.1,Olfr792,mRNA
NM_001011850.1,Olfr1505,mRNA
NM_001011851.1,Olfr412,mRNA
NM_001011852.2,Olfr1029,mRNA
NM_001011853.1,Olfr1425,mRNA
NM_001011854.2,Olfr605,mRNA
NM_001011855.1,Olfr169,mRNA
NM_001011856.2,Olfr1331,mRNA
NM_001011857.1,Olfr685,mRNA
NM_001011858.1,Olfr504,mRNA
NM_001011859.1,Olfr965,mRNA
NM_001011860.1,Olfr1222,mRNA
NM_001011861.3,Olfr331,mRNA
NM_001011862.1,Olfr699,mRNA
NM_001011863.1,Olfr406,mRNA
NM_001011864.1,Olfr917,mRNA
NM_001011865.2,Olfr624,mRNA
NM_001011866.1,Olfr309,mRNA
NM_001011867.1,Olfr538,mRNA
NM_001011868.1,Olfr1178,mRNA
NM_001011869.1,Olfr452,mRNA
NM_001011870.2,Olfr1329,mRNA
NM_001011871.1,Olfr506,mRNA
NM_001011872.2,Olfr1034,mRNA
NM_001011873.2,Xkr9,mRNA
NM_001011874.1,Xkr4,mRNA
NM_001011875.2,Rnase12,mRNA
NM_001011876.2,Ang6,mRNA
NM_001011877.2,Rnase11,mRNA
NM_001012236.1,Trex1,mRNA
NM_001012265.1,Olfr857,mRNA
NM_001012266.1,Olfr835,mRNA
NM_001012269.2,Olfr1513,mRNA
NM_001012273.1,Birc5,mRNA
NM_001012305.2,Slc39a12,mRNA
NM_001012306.2,Hsd3b3,mRNA
NM_001012307.2,Defa23,mRNA
NM_001012309.2,Nsrp1,mRNA
NM_001012310.2,Slc25a47,mRNA
NM_001012311.2,Pgbd1,mRNA
NM_001012322.2,Sctr,mRNA
NM_001012323.1,Mup20,mRNA
NM_001012324.3,Ecm2,mRNA
NM_001012325.2,Zfp708,mRNA
NM_001012330.1,Zbtb18,mRNA
NM_001012335.2,Mdk,mRNA
NM_001012336.2,Mdk,mRNA
NM_001012363.2,Slc2a9,mRNA
NM_001012392.1,Bpifb1,mRNA
NM_001012396.2,Hacd1,mRNA
NM_001012400.2,AU022252,mRNA
NM_001012401.3,Hspb6,mRNA
NM_001012402.2,Hs3st6,mRNA
NM_001012434.3,Kctd14,mRNA
NM_001012448.2,Zfp708,mRNA
NM_001012449.2,Zfp708,mRNA
NM_001012450.1,Ankrd6,mRNA
NM_001012451.1,Ankrd6,mRNA
NM_001012477.2,Cxcl12,mRNA
NM_001012517.5,Fut10,mRNA
NM_001012518.3,Ehmt1,mRNA
NM_001012520.2,Klri1,mRNA
NM_001012623.4,Rims1,mRNA
NM_001012624.4,Rims1,mRNA
NM_001012625.4,Rims1,mRNA
NM_001012638.2,Acd,mRNA
NM_001012640.2,AY761185,mRNA
NM_001012667.2,Smim19,mRNA
NM_001012704.1,Wfdc13,mRNA
NM_001012723.2,Wfdc16,mRNA
NM_001012725.2,Wfdc6b,mRNA
NM_001012726.2,Aym1,mRNA
NM_001012765.5,Adcy5,mRNA
NM_001013012.2,Zfp787,mRNA
NM_001013013.2,Dhrs7c,mRNA
NM_001013019.3,Lrrn4cl,mRNA
NM_001013022.1,Odf3b,mRNA
NM_001013023.2,Mterf1a,mRNA
NM_001013024.2,Usp13,mRNA
NM_001013025.3,Tgfbrap1,mRNA
NM_001013026.2,Ttf2,mRNA
NM_001013028.2,Tmem263,mRNA
NM_001013256.2,Ctc1,mRNA
NM_001013360.2,Npcd,mRNA
NM_001013362.2,Npcd,mRNA
NM_001013365.2,Osm,mRNA
NM_001013366.1,Wdr91,mRNA
NM_001013367.3,Prkaa1,mRNA
NM_001013368.5,E2f8,mRNA
NM_001013369.2,Pfdn4,mRNA
NM_001013370.2,Sesn1,mRNA
NM_001013371.2,Dtx3l,mRNA
NM_001013372.2,Nrp,mRNA
NM_001013373.2,Tmprss13,mRNA
NM_001013374.2,Lman2l,mRNA
NM_001013375.1,Utp18,mRNA
NM_001013376.2,Rpp38,mRNA
NM_001013377.3,Arhgef39,mRNA
NM_001013378.2,Uspl1,mRNA
NM_001013379.2,Zfp930,mRNA
NM_001013380.2,Dync1li2,mRNA
NM_001013381.2,Rsad1,mRNA
NM_001013382.3,Lrrc52,mRNA
NM_001013384.2,Podnl1,mRNA
NM_001013385.2,Grm4,mRNA
NM_001013386.3,Rasl10b,mRNA
NM_001013387.2,Zfp182,mRNA
NM_001013389.2,Mrs2,mRNA
NM_001013390.3,Scn4b,mRNA
NM_001013391.2,Cpsf6,mRNA
NM_001013393.1,Gm11487,mRNA
NM_001013405.2,Tcaim,mRNA
